_id,type,properties.id,properties.atribuicao,properties.status,properties.validacao,properties.status_val,properties.obs,properties.area_km2,geometry.type,geometry.coordinates[0][0][0][0],geometry.coordinates[0][0][0][1],geometry.coordinates[0][0][1][0],geometry.coordinates[0][0][1][1],geometry.coordinates[0][0][2][0],geometry.coordinates[0][0][2][1],geometry.coordinates[0][0][3][0],geometry.coordinates[0][0][3][1],geometry.coordinates[0][0][4][0],geometry.coordinates[0][0][4][1],geometry.coordinates[0][0][5][0],geometry.coordinates[0][0][5][1],geometry.coordinates[0][0][6][0],geometry.coordinates[0][0][6][1],geometry.coordinates[0][0][7][0],geometry.coordinates[0][0][7][1],geometry.coordinates[0][0][8][0],geometry.coordinates[0][0][8][1],geometry.coordinates[0][0][9][0],geometry.coordinates[0][0][9][1],geometry.coordinates[0][0][10][0],geometry.coordinates[0][0][10][1],geometry.coordinates[0][0][11][0],geometry.coordinates[0][0][11][1],geometry.coordinates[0][0][12][0],geometry.coordinates[0][0][12][1],geometry.coordinates[0][0][13][0],geometry.coordinates[0][0][13][1],geometry.coordinates[0][0][14][0],geometry.coordinates[0][0][14][1],geometry.coordinates[0][0][15][0],geometry.coordinates[0][0][15][1],geometry.coordinates[0][0][16][0],geometry.coordinates[0][0][16][1],geometry.coordinates[0][0][17][0],geometry.coordinates[0][0][17][1],geometry.coordinates[0][0][18][0],geometry.coordinates[0][0][18][1],geometry.coordinates[0][0][19][0],geometry.coordinates[0][0][19][1],geometry.coordinates[0][0][20][0],geometry.coordinates[0][0][20][1],geometry.coordinates[1][0][0][0],geometry.coordinates[1][0][0][1],geometry.coordinates[1][0][1][0],geometry.coordinates[1][0][1][1],geometry.coordinates[1][0][2][0],geometry.coordinates[1][0][2][1],geometry.coordinates[1][0][3][0],geometry.coordinates[1][0][3][1],geometry.coordinates[1][0][4][0],geometry.coordinates[1][0][4][1],geometry.coordinates[1][0][5][0],geometry.coordinates[1][0][5][1],geometry.coordinates[1][0][6][0],geometry.coordinates[1][0][6][1],geometry.coordinates[1][0][7][0],geometry.coordinates[1][0][7][1],geometry.coordinates[1][0][8][0],geometry.coordinates[1][0][8][1],geometry.coordinates[1][0][9][0],geometry.coordinates[1][0][9][1],geometry.coordinates[1][0][10][0],geometry.coordinates[1][0][10][1],geometry.coordinates[1][0][11][0],geometry.coordinates[1][0][11][1],geometry.coordinates[0][0][21][0],geometry.coordinates[0][0][21][1],geometry.coordinates[0][0][22][0],geometry.coordinates[0][0][22][1],geometry.coordinates[0][0][23][0],geometry.coordinates[0][0][23][1],geometry.coordinates[0][0][24][0],geometry.coordinates[0][0][24][1],geometry.coordinates[0][0][25][0],geometry.coordinates[0][0][25][1],geometry.coordinates[0][0][26][0],geometry.coordinates[0][0][26][1],geometry.coordinates[0][0][27][0],geometry.coordinates[0][0][27][1],geometry.coordinates[0][0][28][0],geometry.coordinates[0][0][28][1],geometry.coordinates[0][0][29][0],geometry.coordinates[0][0][29][1],geometry.coordinates[1][0][12][0],geometry.coordinates[1][0][12][1],geometry.coordinates[1][0][13][0],geometry.coordinates[1][0][13][1],geometry.coordinates[1][0][14][0],geometry.coordinates[1][0][14][1],geometry.coordinates[1][0][15][0],geometry.coordinates[1][0][15][1],geometry.coordinates[1][0][16][0],geometry.coordinates[1][0][16][1],geometry.coordinates[1][0][17][0],geometry.coordinates[1][0][17][1],geometry.coordinates[1][0][18][0],geometry.coordinates[1][0][18][1],geometry.coordinates[1][0][19][0],geometry.coordinates[1][0][19][1],geometry.coordinates[1][0][20][0],geometry.coordinates[1][0][20][1],geometry.coordinates[1][0][21][0],geometry.coordinates[1][0][21][1],data_inicio,data_fim
65f8d5b0c60a8f925ce7a7ef,Feature,1884,analista 3,finalizado,,,,0.280223847,MultiPolygon,506088.646550982,7495901.9862726405,506788.646550982,7495901.9862726405,506788.646550982,7495501.9862726405,506088.646550982,7495501.9862726405,506088.646550982,7495901.9862726405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16/03/2024,17/03/2024
65f8d5b0c60a8f925ce7a7f0,Feature,1885,analista 3,finalizado,,,,0.280223847,MultiPolygon,506088.646550982,7496301.9862726405,506788.646550982,7496301.9862726405,506788.646550982,7495901.9862726405,506088.646550982,7495901.9862726405,506088.646550982,7496301.9862726405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14/03/2024,17/03/2024
65f8d5b0c60a8f925ce7a7f1,Feature,1886,analista 3,finalizado,,,,0.280223847,MultiPolygon,506088.646550982,7496701.9862726405,506788.646550982,7496701.9862726405,506788.646550982,7496301.9862726405,506088.646550982,7496301.9862726405,506088.646550982,7496701.9862726405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10/03/2024,12/03/2024
65f8d5b0c60a8f925ce7a7f2,Feature,1887,analista 3,finalizado,,,,0.280223847,MultiPolygon,506088.646550982,7497101.9862726405,506788.646550982,7497101.9862726405,506788.646550982,7496701.9862726405,506088.646550982,7496701.9862726405,506088.646550982,7497101.9862726405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24/03/2024,24/03/2024
65f8d5b0c60a8f925ce7a7f3,Feature,1888,analista 3,finalizado,,,,0.074171863,MultiPolygon,506587.8402258378,7494249.551460797,506551.85478367587,7494214.004379628,506494.3736205542,7494186.086058192,506379.4559757802,7494165.62367506,506315.00771180296,7494133.720571784,506278.7583785502,7494146.806271855,506223.71415326727,7494144.5967375655,506156.5078438915,7494097.170547435,506127.15609463624,7494087.484574283,506090.35998515994,7494089.836612243,506088.646550982,7494091.025145267,506088.646550982,7494301.9862726405,506603.60398874513,7494301.9862726405,506587.8402258378,7494249.551460797,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21/04/2024,24/04/2024
65f8d5b0c60a8f925ce7a7f4,Feature,1889,analista 3,finalizado,,,,0.260526386,MultiPolygon,506781.01308715297,7494485.9426460825,506751.18717240414,7494441.352401167,506621.0556243281,7494360.03543473,506603.60398874513,7494301.9862726405,506088.646550982,7494301.9862726405,506088.646550982,7494701.9862726405,506788.646550982,7494701.9862726405,506788.646550982,7494513.27049541,506781.01308715297,7494485.9426460825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31/03/2024,03/04/2024
65f8d5b0c60a8f925ce7a7f5,Feature,1890,analista 3,finalizado,,,,0.280223847,MultiPolygon,506088.646550982,7495101.9862726405,506788.646550982,7495101.9862726405,506788.646550982,7494701.9862726405,506088.646550982,7494701.9862726405,506088.646550982,7495101.9862726405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13/04/2024,15/04/2024
65f8d5b0c60a8f925ce7a7f6,Feature,1891,analista 3,finalizado,,,,0.280223847,MultiPolygon,506088.646550982,7495501.9862726405,506788.646550982,7495501.9862726405,506788.646550982,7495101.9862726405,506088.646550982,7495101.9862726405,506088.646550982,7495501.9862726405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26/03/2024,26/03/2024
65f8d5b0c60a8f925ce7a7f7,Feature,1892,analista 3,finalizado,,,,0.280223847,MultiPolygon,506088.646550982,7502301.9862726405,506788.646550982,7502301.9862726405,506788.646550982,7501901.9862726405,506088.646550982,7501901.9862726405,506088.646550982,7502301.9862726405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,03/03/2024,07/03/2024
65f8d5b0c60a8f925ce7a7f8,Feature,1893,analista 3,finalizado,,,,0.280223847,MultiPolygon,506088.646550982,7502701.9862726405,506788.646550982,7502701.9862726405,506788.646550982,7502301.9862726405,506088.646550982,7502301.9862726405,506088.646550982,7502701.9862726405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20/03/2024,23/03/2024
